VCC	V(rc)	I(RC)
Step Information: VBB=9.5  (Step: 1/3)
0.000000000000000e+00	1.026072e-02	-1.026072e-05
1.000000000000000e-01	4.175938e-02	5.824062e-05
2.000000000000000e-01	5.871463e-02	1.412854e-04
3.000000000000000e-01	7.026207e-02	2.297379e-04
4.000000000000000e-01	7.915743e-02	3.208426e-04
5.000000000000000e-01	8.654052e-02	4.134595e-04
6.000000000000001e-01	9.297059e-02	5.070294e-04
7.000000000000001e-01	9.877037e-02	6.012296e-04
8.000000000000000e-01	1.041456e-01	6.958544e-04
9.000000000000000e-01	1.092428e-01	7.907572e-04
1.000000000000000e+00	1.141634e-01	8.858365e-04
1.100000000000000e+00	1.190023e-01	9.809977e-04
1.200000000000000e+00	1.238410e-01	1.076159e-03
1.300000000000000e+00	1.287618e-01	1.171238e-03
1.400000000000000e+00	1.338540e-01	1.266146e-03
1.500000000000000e+00	1.392265e-01	1.360774e-03
1.600000000000000e+00	1.450226e-01	1.454977e-03
1.700000000000000e+00	1.514481e-01	1.548552e-03
1.800000000000000e+00	1.588263e-01	1.641174e-03
1.900000000000000e+00	1.677209e-01	1.732279e-03
2.000000000000000e+00	1.792631e-01	1.820737e-03
2.100000000000000e+00	1.962400e-01	1.903760e-03
2.200000000000000e+00	2.279084e-01	1.972092e-03
2.300000000000000e+00	2.998957e-01	2.000104e-03
2.400000000000000e+00	3.980638e-01	2.001936e-03
2.500000000000000e+00	4.980225e-01	2.001978e-03
2.600000000000000e+00	5.980217e-01	2.001978e-03
2.700000000000000e+00	6.980217e-01	2.001978e-03
2.800000000000000e+00	7.980216e-01	2.001978e-03
2.900000000000000e+00	8.980216e-01	2.001978e-03
3.000000000000000e+00	9.980216e-01	2.001978e-03
3.100000000000000e+00	1.098022e+00	2.001978e-03
3.200000000000000e+00	1.198022e+00	2.001978e-03
3.300000000000000e+00	1.298022e+00	2.001978e-03
3.400000000000000e+00	1.398022e+00	2.001978e-03
3.500000000000000e+00	1.498022e+00	2.001978e-03
3.600000000000000e+00	1.598022e+00	2.001978e-03
3.700000000000000e+00	1.698022e+00	2.001978e-03
3.800000000000000e+00	1.798022e+00	2.001978e-03
3.900000000000000e+00	1.898021e+00	2.001978e-03
4.000000000000000e+00	1.998021e+00	2.001978e-03
4.100000000000001e+00	2.098022e+00	2.001978e-03
4.200000000000000e+00	2.198021e+00	2.001978e-03
4.300000000000000e+00	2.298022e+00	2.001978e-03
4.400000000000000e+00	2.398021e+00	2.001978e-03
4.500000000000000e+00	2.498021e+00	2.001978e-03
4.600000000000001e+00	2.598022e+00	2.001978e-03
4.700000000000000e+00	2.698021e+00	2.001978e-03
4.800000000000001e+00	2.798021e+00	2.001979e-03
4.900000000000000e+00	2.898021e+00	2.001979e-03
5.000000000000000e+00	2.998021e+00	2.001979e-03
5.100000000000001e+00	3.098022e+00	2.001979e-03
5.200000000000000e+00	3.198021e+00	2.001979e-03
5.300000000000001e+00	3.298021e+00	2.001979e-03
5.400000000000000e+00	3.398021e+00	2.001979e-03
5.500000000000000e+00	3.498021e+00	2.001979e-03
5.600000000000001e+00	3.598021e+00	2.001979e-03
5.700000000000000e+00	3.698021e+00	2.001979e-03
5.800000000000001e+00	3.798021e+00	2.001979e-03
5.900000000000000e+00	3.898021e+00	2.001979e-03
6.000000000000000e+00	3.998021e+00	2.001979e-03
6.100000000000001e+00	4.098022e+00	2.001979e-03
6.200000000000000e+00	4.198021e+00	2.001979e-03
6.300000000000001e+00	4.298021e+00	2.001979e-03
6.400000000000000e+00	4.398021e+00	2.001979e-03
6.500000000000000e+00	4.498021e+00	2.001979e-03
6.600000000000001e+00	4.598021e+00	2.001979e-03
6.700000000000000e+00	4.698021e+00	2.001979e-03
6.800000000000001e+00	4.798021e+00	2.001979e-03
6.900000000000000e+00	4.898021e+00	2.001979e-03
7.000000000000000e+00	4.998021e+00	2.001979e-03
7.100000000000001e+00	5.098021e+00	2.001979e-03
7.200000000000000e+00	5.198021e+00	2.001979e-03
7.300000000000001e+00	5.298021e+00	2.001979e-03
7.400000000000000e+00	5.398021e+00	2.001979e-03
7.500000000000000e+00	5.498021e+00	2.001979e-03
7.600000000000001e+00	5.598021e+00	2.001979e-03
7.700000000000000e+00	5.698021e+00	2.001979e-03
7.800000000000001e+00	5.798021e+00	2.001979e-03
7.900000000000000e+00	5.898021e+00	2.001979e-03
8.000000000000000e+00	5.998021e+00	2.001979e-03
8.100000000000000e+00	6.098021e+00	2.001979e-03
8.200000000000001e+00	6.198021e+00	2.001979e-03
8.300000000000001e+00	6.298021e+00	2.001979e-03
8.400000000000000e+00	6.398021e+00	2.001979e-03
8.500000000000000e+00	6.498021e+00	2.001979e-03
8.600000000000000e+00	6.598021e+00	2.001979e-03
8.700000000000001e+00	6.698021e+00	2.001979e-03
8.800000000000001e+00	6.798021e+00	2.001979e-03
8.900000000000000e+00	6.898021e+00	2.001979e-03
9.000000000000000e+00	6.998021e+00	2.001979e-03
9.100000000000000e+00	7.098021e+00	2.001979e-03
9.200000000000001e+00	7.198021e+00	2.001979e-03
9.300000000000001e+00	7.298021e+00	2.001979e-03
9.400000000000000e+00	7.398021e+00	2.001979e-03
9.500000000000000e+00	7.498021e+00	2.001979e-03
9.600000000000001e+00	7.598021e+00	2.001979e-03
9.700000000000001e+00	7.698021e+00	2.001979e-03
9.800000000000001e+00	7.798021e+00	2.001979e-03
9.900000000000000e+00	7.898021e+00	2.001979e-03
